position_rank,player_name,position,total_points,last_3_weeks_avg,week_11,week_12,week_13
6,Dak Prescott,QB,283.0,29.0,33.0,30.0,24.0
17,Bryce Young,QB,189.0,24.67,37.0,9.0,28.0
1,Josh Allen,QB,301.0,24.33,48.0,8.0,17.0
2,Patrick Mahomes,QB,301.0,23.0,15.0,17.0,37.0
20,Jacoby Brissett,QB,169.0,23.0,26.0,20.0,23.0
5,Jalen Hurts,QB,284.0,22.33,14.0,32.0,21.0
14,Trevor Lawrence,QB,218.0,21.33,16.0,23.0,25.0
3,Jahmyr Gibbs,RB,209.0,21.0,13.0,43.0,7.0
2,Christian McCaffrey,RB,232.0,20.67,30.0,19.0,13.0
4,Bijan Robinson,RB,193.0,20.67,25.0,12.0,25.0
3,Matthew Stafford,QB,298.0,20.33,17.0,28.0,16.0
8,Jared Goff,QB,257.0,19.67,14.0,21.0,24.0
13,Jordan Love,QB,227.0,19.67,20.0,6.0,33.0
4,Drake Maye,QB,297.0,19.33,17.0,17.0,24.0
7,Derrick Henry,RB,156.0,17.67,17.0,20.0,16.0
32,Brock Purdy,QB,94.0,17.33,26.0,8.0,18.0
6,James Cook,RB,188.0,16.67,16.0,18.0,16.0
2,George Pickens,WR,157.0,16.67,20.0,20.0,10.0
10,Caleb Williams,QB,247.0,16.0,9.0,28.0,11.0
22,Geno Smith,QB,165.0,15.33,14.0,16.0,16.0
42,Jameis Winston,QB,46.0,15.33,12.0,34.0,NULL
11,A.J. Brown,WR,101.0,15.33,4.0,17.0,25.0
28,Cameron Ward,QB,127.0,15.0,15.0,25.0,5.0
8,Tetairoa McMillan,WR,113.0,14.67,25.0,9.0,10.0
30,Marcus Mariota,QB,122.0,14.0,16.0,NULL,26.0
20,TreVeyon Henderson,RB,106.0,13.67,27.0,7.0,7.0
1,Jaxon Smith-Njigba,WR,172.0,13.67,11.0,28.0,2.0
3,Davante Adams,WR,147.0,13.67,6.0,18.0,17.0
7,Daniel Jones,QB,257.0,13.33,NULL,20.0,20.0
27,Rashee Rice,WR,86.0,13.33,3.0,16.0,21.0
12,Travis Etienne,RB,133.0,13.0,19.0,17.0,3.0
27,Kyle Monangai,RB,90.0,12.67,9.0,10.0,19.0
29,Kenny Gainwell,RB,83.0,12.67,22.0,12.0,4.0
1,Trey McBride,TE,131.0,12.67,17.0,7.0,14.0
12,Baker Mayfield,QB,227.0,12.33,18.0,4.0,15.0
46,Emanuel Wilson,RB,56.0,12.0,12.0,23.0,1.0
23,CeeDee Lamb,WR,90.0,12.0,12.0,7.0,17.0
37,Davis Mills,QB,71.0,11.67,17.0,18.0,NULL
39,Tyrod Taylor,QB,67.0,11.67,NULL,13.0,22.0
5,De'Von Achane,RB,191.0,11.67,16.0,NULL,19.0
23,Kareem Hunt,RB,100.0,11.67,11.0,17.0,7.0
44,Sean Tucker,RB,58.0,11.67,31.0,4.0,0.0
47,Devin Singletary,RB,54.0,11.67,16.0,4.0,15.0
10,Nico Collins,WR,105.0,11.67,15.0,5.0,15.0
12,Jameson Williams,WR,101.0,11.33,14.0,NULL,20.0
53,Christian Watson,WR,51.0,11.33,16.0,4.0,14.0
44,Kirk Cousins,QB,40.0,11.0,1.0,17.0,15.0
17,Quinshon Judkins,RB,122.0,11.0,5.0,16.0,12.0
19,Chase Brown,RB,108.0,11.0,11.0,12.0,10.0
40,Zonovan Knight,RB,63.0,11.0,10.0,9.0,14.0
10,Kyren Williams,RB,154.0,10.67,15.0,4.0,13.0
21,Kenneth Walker,RB,105.0,10.67,16.0,10.0,6.0
41,Jakobi Meyers,WR,68.0,10.67,6.0,11.0,15.0
46,Michael Wilson,WR,58.0,10.67,18.0,11.0,3.0
8,Javonte Williams,RB,156.0,10.33,9.0,9.0,13.0
13,George Kittle,TE,66.0,10.33,18.0,7.0,6.0
5,Brock Bowers,TE,85.0,10.0,7.0,5.0,18.0
15,Sam Darnold,QB,204.0,9.67,4.0,21.0,4.0
38,Tyler Shough,QB,67.0,9.67,NULL,8.0,21.0
15,D'Andre Swift,RB,126.0,9.67,9.0,1.0,19.0
2,Travis Kelce,TE,98.0,9.67,15.0,4.0,10.0
11,Bo Nix,QB,243.0,9.33,11.0,NULL,17.0
43,Tyrone Tracy,RB,60.0,9.33,13.0,12.0,3.0
6,Hunter Henry,TE,84.0,9.33,4.0,17.0,7.0
13,Breece Hall,RB,131.0,9.0,5.0,10.0,12.0
18,Jaylen Warren,RB,109.0,9.0,6.0,12.0,9.0
19,Wan'Dale Robinson,WR,95.0,9.0,3.0,21.0,3.0
14,Ashton Jeanty,RB,127.0,8.0,2.0,16.0,6.0
26,Zach Charbonnet,RB,91.0,8.0,4.0,9.0,11.0
4,Amon-Ra St. Brown,WR,137.0,8.0,4.0,20.0,NULL
38,Jauan Jennings,WR,72.0,8.0,5.0,10.0,9.0
65,Greg Dortch,WR,41.0,8.0,12.0,11.0,1.0
70,Dontayvion Wicks,WR,38.0,8.0,0.0,3.0,21.0
45,Shedeur Sanders,QB,23.0,7.67,0.0,12.0,11.0
34,Chuba Hubbard,RB,78.0,7.67,2.0,3.0,18.0
5,Puka Nacua,WR,132.0,7.67,7.0,9.0,7.0
91,Jalen Coker,WR,28.0,7.67,7.0,3.0,13.0
99,John Metchie,WR,24.0,7.67,10.0,12.0,1.0
21,Joe Flacco,QB,169.0,7.33,11.0,11.0,NULL
43,Joe Burrow,QB,41.0,7.33,NULL,NULL,22.0
11,Rico Dowdle,RB,144.0,7.33,9.0,6.0,7.0
28,RJ Harvey,RB,89.0,7.33,5.0,NULL,17.0
32,Tyler Allgeier,RB,82.0,7.33,7.0,4.0,11.0
25,Justin Fields,QB,151.0,7.0,21.0,NULL,NULL
45,Bhayshul Tuten,RB,56.0,7.0,13.0,1.0,7.0
35,D.J. Moore,WR,77.0,7.0,1.0,18.0,2.0
81,Adonai Mitchell,WR,33.0,7.0,1.0,4.0,16.0
33,Kimani Vidal,RB,80.0,6.67,1.0,NULL,19.0
47,Jayden Higgins,WR,55.0,6.67,5.0,9.0,6.0
9,Justin Herbert,QB,253.0,6.33,3.0,NULL,16.0
16,Saquon Barkley,RB,126.0,6.33,8.0,6.0,5.0
27,Brenton Strange,TE,37.0,6.33,NULL,9.0,10.0
33,Colby Parkinson,TE,34.0,6.33,7.0,10.0,2.0
25,Deebo Samuel,WR,87.0,6.33,13.0,NULL,6.0
18,Lamar Jackson,QB,180.0,6.0,4.0,7.0,7.0
47,Mason Rudolph,QB,18.0,6.0,11.0,9.0,-2.0
31,Jordan Mason,RB,82.0,6.0,10.0,4.0,4.0
61,Ty Johnson,RB,32.0,6.0,12.0,4.0,2.0
78,Darnell Mooney,WR,34.0,6.0,3.0,13.0,2.0
90,Devaughn Vele,WR,28.0,6.0,NULL,3.0,15.0
30,Jo'quavious Marks,RB,82.0,5.67,4.0,7.0,6.0
50,Blake Corum,RB,51.0,5.67,1.0,2.0,14.0
51,Christopher Rodriguez,RB,51.0,5.67,7.0,NULL,10.0
15,Chris Olave,WR,100.0,5.67,NULL,7.0,10.0
17,Courtland Sutton,WR,97.0,5.67,5.0,NULL,12.0
45,Parker Washington,WR,60.0,5.67,2.0,13.0,2.0
1,Jonathan Taylor,RB,253.0,5.33,NULL,5.0,11.0
56,Dylan Sampson,RB,35.0,5.33,1.0,13.0,2.0
4,Jake Ferguson,TE,86.0,5.33,7.0,6.0,3.0
12,Mark Andrews,TE,68.0,5.33,12.0,0.0,4.0
20,Colston Loveland,TE,54.0,5.33,4.0,10.0,2.0
20,D.K. Metcalf,WR,93.0,5.33,4.0,9.0,3.0
58,Xavier Legette,WR,45.0,5.33,14.0,2.0,0.0
62,Andrei Iosivas,WR,43.0,5.33,2.0,6.0,8.0
16,Jaxson Dart,QB,190.0,5.0,NULL,NULL,15.0
22,David Montgomery,RB,103.0,5.0,3.0,2.0,10.0
15,Harold Fannin,TE,63.0,5.0,2.0,4.0,9.0
16,Tee Higgins,WR,98.0,5.0,12.0,3.0,NULL
30,Romeo Doubs,WR,81.0,5.0,5.0,2.0,8.0
37,Alec Pierce,WR,74.0,5.0,NULL,2.0,13.0
69,Terry McLaurin,WR,39.0,5.0,NULL,NULL,15.0
109,Tyrell Shavers,WR,21.0,5.0,15.0,NULL,NULL
118,David Sills,WR,16.0,5.0,1.0,7.0,7.0
121,Isaiah Hodgins,WR,15.0,5.0,5.0,10.0,0.0
38,Mar'Keise Irving,RB,65.0,4.67,NULL,NULL,14.0
49,Aaron Jones,RB,51.0,4.67,8.0,5.0,1.0
65,Keaton Mitchell,RB,22.0,4.67,5.0,1.0,8.0
76,Malik Davis,RB,14.0,4.67,2.0,2.0,10.0
9,Zach Ertz,TE,70.0,4.67,4.0,NULL,10.0
6,Ja'Marr Chase,WR,124.0,4.67,3.0,NULL,11.0
28,Stefon Diggs,WR,82.0,4.67,10.0,2.0,2.0
33,Tre Tucker,WR,80.0,4.67,10.0,2.0,2.0
56,Xavier Worthy,WR,48.0,4.67,2.0,5.0,7.0
57,Darius Slayton,WR,45.0,4.67,NULL,2.0,12.0
19,Aaron Rodgers,QB,179.0,4.33,10.0,NULL,3.0
35,Cole Kmet,TE,31.0,4.33,4.0,0.0,9.0
39,Marquise Brown,WR,72.0,4.33,4.0,1.0,8.0
9,Josh Jacobs,RB,155.0,4.0,4.0,NULL,8.0
57,Michael Carter,RB,34.0,4.0,2.0,5.0,5.0
3,Tyler Warren,TE,92.0,4.0,NULL,4.0,8.0
10,Theo Johnson,TE,69.0,4.0,3.0,7.0,2.0
34,Darnell Washington,TE,33.0,4.0,6.0,2.0,4.0
22,DeVonta Smith,WR,91.0,4.0,0.0,8.0,4.0
36,Zay Flowers,WR,76.0,4.0,7.0,6.0,-1.0
83,Pat Bryant,WR,31.0,4.0,8.0,NULL,4.0
35,Tony Pollard,RB,76.0,3.67,2.0,4.0,5.0
37,Rachaad White,RB,73.0,3.67,6.0,3.0,2.0
39,Nick Chubb,RB,63.0,3.67,1.0,1.0,9.0
58,Ollie Gordon,RB,34.0,3.67,10.0,NULL,1.0
69,Jaret Patterson,RB,18.0,3.67,NULL,NULL,11.0
75,Devin Neal,RB,15.0,3.67,NULL,5.0,6.0
16,AJ Barner,TE,62.0,3.67,7.0,1.0,3.0
21,Kyle Pitts,TE,53.0,3.67,1.0,2.0,8.0
32,Chigoziem Okonkwo,TE,35.0,3.67,5.0,4.0,2.0
7,Drake London,WR,113.0,3.67,11.0,NULL,NULL
9,Emeka Egbuka,WR,112.0,3.67,4.0,3.0,4.0
44,Jordan Addison,WR,60.0,3.67,8.0,NULL,3.0
55,Mack Hollins,WR,49.0,3.67,6.0,3.0,2.0
97,Van Jefferson,WR,25.0,3.67,8.0,1.0,2.0
104,Christian Kirk,WR,23.0,3.67,0.0,11.0,NULL
23,Tua Tagovailoa,QB,162.0,3.33,6.0,NULL,4.0
19,Dalton Schultz,TE,55.0,3.33,5.0,0.0,5.0
